energy_densityc2,pressurec2,baryon_density
1.351416508000000000e+14,7.227085698000000000e+11,1.348333336676627656e+14
1.689204465000000000e+14,1.000553280000000000e+12,1.686365437695088125e+14
2.371092466000000000e+14,2.564042104000000000e+12,2.376141066928358750e+14
3.059345816000000000e+14,5.661182179000000000e+12,3.063320455115106250e+14
3.757545023000000000e+14,1.123086247000000000e+13,3.749961325724080625e+14
4.467679260000000000e+14,2.076695079000000000e+13,4.434620869670371250e+14
5.195716041000000000e+14,3.423364206000000000e+13,5.119371162248048750e+14
5.945633708000000000e+14,5.330979705000000000e+13,5.804380309784131250e+14
6.721410606000000000e+14,7.986523700000000000e+13,6.488714156359466250e+14
7.531003419000000000e+14,1.155310826000000000e+14,7.174225942327296250e+14
8.378390491000000000e+14,1.602078752000000000e+14,7.859510096882080000e+14
9.269539338000000000e+14,2.142337740000000000e+14,8.545575892250015000e+14
1.020643913000000000e+15,2.784840144000000000e+14,9.230579537429110000e+14
1.119505738000000000e+15,3.524811954000000000e+14,9.916025832575002500e+14
1.223738326000000000e+15,4.360263997000000000e+14,1.060109643254973250e+15
1.333739512000000000e+15,5.293185446000000000e+14,1.128660575239795500e+15
1.449708212000000000e+15,6.327554642000000000e+14,1.197216070931700250e+15
1.571843344000000000e+15,7.465360758000000000e+14,1.265749225330856250e+15
1.700343825000000000e+15,8.698647108000000000e+14,1.334258507898642250e+15
1.835408572000000000e+15,1.002343535000000000e+15,1.402769658608516000e+15
1.977236502000000000e+15,1.142580128000000000e+15,1.471332225444481500e+15
2.126424367000000000e+15,1.288585318000000000e+15,1.540213351537982000e+15
2.281579747000000000e+15,1.439364520000000000e+15,1.608796774591577000e+15
2.442702641000000000e+15,1.595116651000000000e+15,1.677138527181621250e+15
2.609793050000000000e+15,1.757631965000000000e+15,1.745269396203559500e+15
