rhoc,M,R,Lambda
8.004702045821142500e+14,1.052274858422179715e+00,1.141446958991440574e+01,1.362393893978043479e+03
8.109819869542498750e+14,1.068686878259712092e+00,1.140762828334931989e+01,1.244901645963236660e+03
8.213842354331358750e+14,1.085098898097244247e+00,1.140044404758903696e+01,1.137961663022664425e+03
8.318795873233792500e+14,1.101510917934776401e+00,1.139290838842958919e+01,1.040733162055698585e+03
8.423912663392158750e+14,1.117922937772308556e+00,1.138501709415047713e+01,9.525875919535125149e+02
8.530412036529776250e+14,1.134334957609840933e+00,1.137676081208811141e+01,8.720181641493524012e+02
8.638342082095246250e+14,1.150746977447373087e+00,1.136812856142918449e+01,7.987818694603065524e+02
8.747904293999073750e+14,1.167158997284905242e+00,1.135910568344307592e+01,7.318500803599100664e+02
8.859161001516496250e+14,1.183571017122437397e+00,1.134967654670988857e+01,6.709158731594881147e+02
8.972058378469718750e+14,1.199983036959969773e+00,1.133982553415999028e+01,6.150617447053814431e+02
9.086990568721850000e+14,1.216395056797501928e+00,1.132953463767643321e+01,5.642470604727960790e+02
9.204534681812162500e+14,1.232807076635034083e+00,1.131878663780094207e+01,5.176790305095413487e+02
9.325675869107775000e+14,1.249219096472566237e+00,1.130755619322149741e+01,4.750722016095655817e+02
9.450505103468878750e+14,1.265631116310098614e+00,1.129581113696040617e+01,4.360398924104426328e+02
9.579018346683490000e+14,1.282043136147630769e+00,1.128351404220110688e+01,4.002246921329926295e+02
9.709581704788960000e+14,1.298455155985162923e+00,1.127062986483421625e+01,3.673335963209691499e+02
9.840350071330936250e+14,1.314867175822695300e+00,1.125713211219898824e+01,3.372652985672624482e+02
9.969692029028496250e+14,1.331279195660227455e+00,1.124301143707360673e+01,3.096145210067393236e+02
1.009891305334395625e+15,1.347691215497759609e+00,1.122827206686604384e+01,2.842381219789423881e+02
1.022707190941534000e+15,1.364103235335291764e+00,1.121292474904551817e+01,2.609435844578706565e+02
1.035741169344548875e+15,1.380515255172823919e+00,1.119697439213058665e+01,2.395109310038943136e+02
1.049090836560609500e+15,1.396927275010356295e+00,1.118041647835777930e+01,2.198466430041298736e+02
1.062872891487955000e+15,1.413339294847888450e+00,1.116323205129217655e+01,2.017847614396764868e+02
1.077160124084266500e+15,1.429751314685420605e+00,1.114538632390130068e+01,1.851519818084420876e+02
1.091886537140419875e+15,1.446163334522952981e+00,1.112683664321658661e+01,1.699159008279449949e+02
1.106983286571979875e+15,1.462575354360485136e+00,1.110754030535919590e+01,1.558410834851844697e+02
1.122350185526897000e+15,1.478987374198017291e+00,1.108745684837517409e+01,1.429091120709586278e+02
1.137952395834194000e+15,1.495399394035549445e+00,1.106655103248627370e+01,1.309524537291586910e+02
1.153857078232164000e+15,1.511811413873081600e+00,1.104479061653499272e+01,1.200017499143444866e+02
1.170030096413445250e+15,1.528223433710613977e+00,1.102214424878667032e+01,1.098856617371806124e+02
1.186646762236965750e+15,1.544635453548146131e+00,1.099857323637352025e+01,1.005911962436415763e+02
1.203732963343366500e+15,1.561047473385678286e+00,1.097403266113552966e+01,9.200112672515409429e+01
1.221346364044483000e+15,1.577459493223210663e+00,1.094846637227931652e+01,8.409846685068283989e+01
1.239522474914005250e+15,1.593871513060742817e+00,1.092181170682101410e+01,7.680635557357746279e+01
1.258296404060260000e+15,1.610283532898274972e+00,1.089399824147761109e+01,7.009926437488891793e+01
1.277704476321919000e+15,1.626695552735807127e+00,1.086494517182872421e+01,6.392307931097064255e+01
1.297820258399376000e+15,1.643107572573339281e+00,1.083456014437647319e+01,5.820969479335634844e+01
1.318711176279294250e+15,1.659519592410871658e+00,1.080273642763829045e+01,5.294743146269625811e+01
1.340448589730149000e+15,1.675931612248403813e+00,1.076935230680441080e+01,4.809534010530813219e+01
1.363193850798355250e+15,1.692343632085935967e+00,1.073426440624874445e+01,4.361753436668807637e+01
1.387082833045978500e+15,1.708755651923468344e+00,1.069730096317563728e+01,3.949270928390388491e+01
1.412267589498707250e+15,1.725167671761000499e+00,1.065825289637981577e+01,3.567632419330816163e+01
1.438911946380555000e+15,1.741579691598532653e+00,1.061687139656353018e+01,3.216246740916209745e+01
1.467238516734653500e+15,1.757991711436064808e+00,1.057284607882683325e+01,2.891149719856802847e+01
1.497474614034172250e+15,1.774403731273596962e+00,1.052578479683879387e+01,2.590668585264489110e+01
1.530026264231045750e+15,1.790815751111129339e+00,1.047518524537472118e+01,2.312909716578383978e+01
1.565559296727354500e+15,1.807227770948661494e+00,1.042038262391851333e+01,2.055308830282635313e+01
1.604944416912359500e+15,1.823639790786193648e+00,1.036045349967238138e+01,1.816179102794766109e+01
1.649226877117698250e+15,1.840051810623726025e+00,1.029405806389833700e+01,1.593273657411750577e+01
1.699859633103293000e+15,1.856463830461258180e+00,1.021914566531942192e+01,1.384352389127909788e+01
1.759626299042148000e+15,1.872875850298790334e+00,1.013227762787129116e+01,1.186394086964791761e+01
1.834629725120958000e+15,1.889287870136322489e+00,1.002675702317563555e+01,9.952028080171547941e+00
1.940201229679601000e+15,1.905699889973854644e+00,9.885119088582044355e+00,8.006326203611942915e+00
2.240332589192130000e+15,1.922111909811387020e+00,9.523901441265808288e+00,4.993714835432518484e+00
