rhoc,M,R,Lambda
6.439309196102633750e+14,1.161018256977617069e+00,1.255967915475405050e+01,1.406065633670576744e+03
6.515841737105588750e+14,1.179800223622607280e+00,1.255528279397108271e+01,1.281765162448882847e+03
6.593141152239637500e+14,1.198582190267597269e+00,1.255063425290510004e+01,1.169400841136400913e+03
6.671226580316332500e+14,1.217364156912587259e+00,1.254571328716019707e+01,1.067591452428777529e+03
6.750128802887782500e+14,1.236146123557577470e+00,1.254050019086939827e+01,9.751656593903692283e+02
6.829925285103807500e+14,1.254928090202567681e+00,1.253497558488009211e+01,8.915488209931910433e+02
6.910583966382986250e+14,1.273710056847557670e+00,1.252912002198138630e+01,8.154348288383177987e+02
6.992213602237752500e+14,1.292492023492547881e+00,1.252291401076925403e+01,7.461930742808139030e+02
7.074856088902465000e+14,1.311273990137537870e+00,1.251634006343237182e+01,6.833005880617056391e+02
7.158575575503516250e+14,1.330055956782528082e+00,1.250937713781836180e+01,6.258841378404387115e+02
7.243452784051707500e+14,1.348837923427518293e+00,1.250200791418483703e+01,5.735933285700947408e+02
7.329518825818165000e+14,1.367619890072508282e+00,1.249421247290911019e+01,5.258874050167098630e+02
7.416850641818888750e+14,1.386401856717498493e+00,1.248597001986033206e+01,4.823323236746848579e+02
7.505520810493980000e+14,1.405183823362488482e+00,1.247726131597139876e+01,4.424566691991142307e+02
7.595561459826085000e+14,1.423965790007478693e+00,1.246806590529492986e+01,4.060010312042600731e+02
7.687087815061167500e+14,1.442747756652468683e+00,1.245836131580184336e+01,3.727062391250030373e+02
7.780161260902160000e+14,1.461529723297458894e+00,1.244812608725194636e+01,3.421597076506155872e+02
7.874907752812932500e+14,1.480311689942448883e+00,1.243733734012795189e+01,3.141812763674009261e+02
7.971417553608770000e+14,1.499093656587439094e+00,1.242596981613673357e+01,2.885432131597029866e+02
8.069776457796781250e+14,1.517875623232429305e+00,1.241399859447595766e+01,2.649849085468958378e+02
8.170076399672665000e+14,1.536657589877419294e+00,1.240139607366750241e+01,2.434015512694651875e+02
8.272435328336928750e+14,1.555439556522409505e+00,1.238813342617929436e+01,2.235444419741317574e+02
8.377001547701515000e+14,1.574221523167399495e+00,1.237418126309509780e+01,2.053261210617866084e+02
8.483921596199888750e+14,1.593003489812389706e+00,1.235950621233331503e+01,1.885630740945303501e+02
8.593345650751201250e+14,1.611785456457379695e+00,1.234407367827284574e+01,1.731414918608029154e+02
8.705439329438167500e+14,1.630567423102369906e+00,1.232784550734811901e+01,1.589519900017405121e+02
