rhoc,M,R,Lambda
6.861348493397606250e+14,1.290816731042960797e+00,1.220861078594709959e+01,6.805695962479451282e+02
6.942014204846651250e+14,1.309918697840326107e+00,1.221169877454277675e+01,6.240922861448592585e+02
7.023700126081247500e+14,1.329020664637691418e+00,1.221418317092599715e+01,5.726952170758452212e+02
7.106472256869111250e+14,1.348122631435056729e+00,1.221605511569516622e+01,5.255778956960015194e+02
7.190376890795878750e+14,1.367224598232422039e+00,1.221730464403903227e+01,4.821661648067790225e+02
7.275485419157645000e+14,1.386326565029787350e+00,1.221792138646283199e+01,4.432564633091748192e+02
7.361854034011602500e+14,1.405428531827153105e+00,1.221789366563588786e+01,4.072809003759898587e+02
7.449547678298286250e+14,1.424530498624518415e+00,1.221720930834113084e+01,3.743888967993212873e+02
7.538651323161363750e+14,1.443632465421883726e+00,1.221585522885042252e+01,3.441283685800468106e+02
7.629222195296975000e+14,1.462734432219249037e+00,1.221381677082264616e+01,3.164573392871533315e+02
7.721353224567186250e+14,1.481836399016614347e+00,1.221107873965826229e+01,2.910514424703746386e+02
7.815114328100622500e+14,1.500938365813979658e+00,1.220762406393634691e+01,2.677107897313895251e+02
7.910591089659660000e+14,1.520040332611344969e+00,1.220343504505570742e+01,2.462591333286256656e+02
8.007909032892841250e+14,1.539142299408710279e+00,1.219849181097979773e+01,2.265438323364804489e+02
8.107165997926211250e+14,1.558244266206075590e+00,1.219277332647329359e+01,2.084154656806194339e+02
8.208481456635145000e+14,1.577346233003441345e+00,1.218625619214617295e+01,1.917390318013984825e+02
8.312002575145685000e+14,1.596448199800806655e+00,1.217891507982453447e+01,1.763443606869811333e+02
8.417836652529052500e+14,1.615550166598171966e+00,1.217072244752353427e+01,1.622141839237581848e+02
8.526142844058920000e+14,1.634652133395537277e+00,1.216164787573875294e+01,1.491880803561228106e+02
8.637101048538812500e+14,1.653754100192902587e+00,1.215165830142484005e+01,1.371569924321811982e+02
8.750860477492606250e+14,1.672856066990267898e+00,1.214071741266644722e+01,1.260906382316479437e+02
8.867624461482727500e+14,1.691958033787633209e+00,1.212878487867635080e+01,1.158577152205084815e+02
8.987637817084638750e+14,1.711060000584998519e+00,1.211581660681797246e+01,1.063596424657271058e+02
9.111095805383248750e+14,1.730161967382363830e+00,1.210176358046134126e+01,9.769985022596219437e+01
9.238258410693930000e+14,1.749263934179729585e+00,1.208657144727541777e+01,8.965792074732119943e+01
9.369437705268895000e+14,1.768365900977094896e+00,1.207017954893503919e+01,8.221488538164078363e+01
9.504961599712317500e+14,1.787467867774460206e+00,1.205252018489449561e+01,7.535788502403586619e+01
9.645198847721023750e+14,1.806569834571825517e+00,1.203351727740994548e+01,6.900446400036463501e+01
9.790581283743817500e+14,1.825671801369190828e+00,1.201308428757297442e+01,6.312821774229695393e+01
9.941625505647320000e+14,1.844773768166556138e+00,1.199112311201201386e+01,5.771019725897118491e+01
1.009885771516084625e+15,1.863875734963921449e+00,1.196752163699913751e+01,5.268532088329608598e+01
1.026291822308123250e+15,1.882977701761286760e+00,1.194215033068741327e+01,4.804581736773953793e+01
1.043455734554435500e+15,1.902079668558652070e+00,1.191485922247346707e+01,4.374568022286504743e+01
1.061466520374098125e+15,1.921181635356017825e+00,1.188547186130945477e+01,3.976596250976361091e+01
1.080429924161661375e+15,1.940283602153383136e+00,1.185378014921303702e+01,3.608114235856622543e+01
1.100473495223943000e+15,1.959385568950748446e+00,1.181953465097005562e+01,3.266477998892614210e+01
1.121753110959345125e+15,1.978487535748113757e+00,1.178243198881070164e+01,2.950288049171809490e+01
1.144460302586676000e+15,1.997589502545479068e+00,1.174209843477803616e+01,2.656809001055828645e+01
1.168841373693971500e+15,2.016691469342844378e+00,1.169806351526674248e+01,2.384451084809370869e+01
1.195215585462228000e+15,2.035793436140209689e+00,1.164972263745924330e+01,2.130594803867276354e+01
1.224010599397663500e+15,2.054895402937575000e+00,1.159627367539461851e+01,1.895351881716815257e+01
1.255817210411520250e+15,2.073997369734940310e+00,1.153661634111353784e+01,1.675565629515409682e+01
1.291504120042942750e+15,2.093099336532306065e+00,1.146916708941954610e+01,1.469642619559132868e+01
