rhoc,M,R,Lambda
8.472778457686002500e+14,1.239783470945231558e+00,1.137453028917982678e+01,5.219401405077226173e+02
8.549714401809885000e+14,1.257562171207499357e+00,1.137221523530697098e+01,4.796969843760480217e+02
8.627292240179686250e+14,1.275340871469767379e+00,1.136973523619238158e+01,4.409963418010136138e+02
8.705500278331693750e+14,1.293119571732035400e+00,1.136707510455456749e+01,4.055710956689345608e+02
8.784268238384682500e+14,1.310898271994303421e+00,1.136421908623752053e+01,3.733206865823403859e+02
8.863888412177090000e+14,1.328676972256571442e+00,1.136115287092111004e+01,3.437774550949465038e+02
8.944033827509368750e+14,1.346455672518839242e+00,1.135786061611212006e+01,3.165973443352976915e+02
9.025088554540921250e+14,1.364234372781107263e+00,1.135432781919852196e+01,2.917279417048794699e+02
9.106933274717532500e+14,1.382013073043375284e+00,1.135053942481798472e+01,2.689397476455409333e+02
9.189617074371805000e+14,1.399791773305643305e+00,1.134648057509375008e+01,2.479930416872485637e+02
9.273353944596606250e+14,1.417570473567911105e+00,1.134213690101600847e+01,2.287278416967691896e+02
9.357959298208608750e+14,1.435349173830179126e+00,1.133749199827116882e+01,2.110612233253484931e+02
9.443749461272222500e+14,1.453127874092447147e+00,1.133253065130387149e+01,1.947923769356013111e+02
9.530627286358816250e+14,1.470906574354714946e+00,1.132723641185306995e+01,1.797919060754644818e+02
9.618737456304541250e+14,1.488685274616982968e+00,1.132159227600150508e+01,1.659720266635932830e+02
9.708149014877976250e+14,1.506463974879250989e+00,1.131558110240271553e+01,1.532887319755854207e+02
9.798831834221540000e+14,1.524242675141519010e+00,1.130918512124152997e+01,1.415190972251198218e+02
9.891034734313176250e+14,1.542021375403786809e+00,1.130238562206334230e+01,1.307099784195781638e+02
9.984608621195253750e+14,1.559800075666054830e+00,1.129516340271127284e+01,1.207103809075096024e+02
1.007985952378393625e+15,1.577578775928322852e+00,1.128749751778701693e+01,1.114897178614984341e+02
1.017672564980752000e+15,1.595357476190590873e+00,1.127936689703077455e+01,1.029610757946553434e+02
1.027537931333559000e+15,1.613136176452858672e+00,1.127074836972710514e+01,9.509253927227202041e+01
1.037594454083855500e+15,1.630914876715126693e+00,1.126161802747377116e+01,8.780203491606761190e+01
1.047847495711091375e+15,1.648693576977394715e+00,1.125195054809791806e+01,8.106696638082263462e+01
1.058323082214745375e+15,1.666472277239662736e+00,1.124171849675978052e+01,7.483502279198489759e+01
1.069025716846815375e+15,1.684250977501930535e+00,1.123089188346927614e+01,6.905393434962417132e+01
1.079982413544781000e+15,1.702029677764198556e+00,1.121943864085171150e+01,6.371017179070554448e+01
1.091203944884842125e+15,1.719808378026466578e+00,1.120732379962710823e+01,5.876312051276073589e+01
1.102715556136246125e+15,1.737587078288734377e+00,1.119450852682419928e+01,5.417180538711287596e+01
1.114529835686166875e+15,1.755365778551002398e+00,1.118095164248430073e+01,4.992133212761551420e+01
1.126677129525598750e+15,1.773144478813270419e+00,1.116660717371532741e+01,4.597150122536952921e+01
1.139173610862760000e+15,1.790923179075538441e+00,1.115142480911153200e+01,4.232114003342879016e+01
1.152056706469918000e+15,1.808701879337806240e+00,1.113534853261361590e+01,3.892675977476426397e+01
1.165349583018633250e+15,1.826480579600074261e+00,1.111831631550832888e+01,3.577963570940110571e+01
1.179097867252598250e+15,1.844259279862342282e+00,1.110025857039159902e+01,3.286039964430563032e+01
1.193334659308099750e+15,1.862037980124610304e+00,1.108109716064213046e+01,3.015330937920662535e+01
1.208114818396895750e+15,1.879816680386878103e+00,1.106074324790051477e+01,2.763467999537620656e+01
