rhoc,M,R,Lambda
3.509014919496388750e+14,9.672340045784597606e-01,1.481639296952001494e+01,9.297115329498021310e+03
3.554825466340719375e+14,9.920479814036076149e-01,1.482212022610548452e+01,8.206370931555775314e+03
3.600640358412275000e+14,1.016861958228755469e+00,1.482826444100365748e+01,7.259469844167814699e+03
3.646253573773281875e+14,1.041675935053903324e+00,1.483473493793816367e+01,6.437225686545691133e+03
3.691908545600533125e+14,1.066489911879051178e+00,1.484145053250999702e+01,5.720223059916024795e+03
3.737455056021018750e+14,1.091303888704199032e+00,1.484833878098957705e+01,5.090689851832995373e+03
3.783047557642016250e+14,1.116117865529346886e+00,1.485533691791608568e+01,4.543017979890997594e+03
3.828607173541537500e+14,1.140931842354494741e+00,1.486238685443324137e+01,4.059504916153922750e+03
3.874230106626743750e+14,1.165745819179642595e+00,1.486943532375036270e+01,3.634461582972892757e+03
3.919880315756551250e+14,1.190559796004790449e+00,1.487643726485829987e+01,3.258218342231953557e+03
3.965623620066768125e+14,1.215373772829938304e+00,1.488334943321523340e+01,2.926468000365198350e+03
4.011441415599045000e+14,1.240187749655086158e+00,1.489013358787784824e+01,2.631575295416626432e+03
4.057391797046771250e+14,1.265001726480234012e+00,1.489675416708340272e+01,2.370099857743463872e+03
4.103454971122294375e+14,1.289815703305381867e+00,1.490317922820252683e+01,2.137326318742184867e+03
4.149697878419675000e+14,1.314629680130529721e+00,1.490937833101379972e+01,1.930116708187559652e+03
4.196083557802639375e+14,1.339443656955677575e+00,1.491532422604064934e+01,1.744550511266497097e+03
4.242705646042460625e+14,1.364257633780825429e+00,1.492099218717950748e+01,1.578883730681038969e+03
4.289493874398056875e+14,1.389071610605973284e+00,1.492635699320008591e+01,1.430566605584254603e+03
4.336580813412260000e+14,1.413885587431121138e+00,1.493139746716722804e+01,1.297343249206222254e+03
4.383854615269465000e+14,1.438699564256268992e+00,1.493609194871270418e+01,1.177736991882756683e+03
4.431494419077941250e+14,1.463513541081416847e+00,1.494041934875928312e+01,1.070120518417682888e+03
4.479338552695830000e+14,1.488327517906564701e+00,1.494436231856708908e+01,9.734140651013036631e+02
4.527607006853771875e+14,1.513141494731712555e+00,1.494790113334533466e+01,8.859790322069222839e+02
4.576127704629464375e+14,1.537955471556860410e+00,1.495101824012165359e+01,8.071131835830931323e+02
4.625101153371333125e+14,1.562769448382008264e+00,1.495369618811966816e+01,7.357825566533024357e+02
4.674412887629937500e+14,1.587583425207156118e+00,1.495591838949294505e+01,6.711428546764113889e+02
4.724190861086137500e+14,1.612397402032303972e+00,1.495766803707035919e+01,6.127055944498029021e+02
4.774396649211583125e+14,1.637211378857451383e+00,1.495892864732750205e+01,5.595324836394441945e+02
4.825089355230882500e+14,1.662025355682599237e+00,1.495968193523497725e+01,5.115625910961532554e+02
4.876299089810330625e+14,1.686839332507747091e+00,1.495991335389742893e+01,4.677730937367098250e+02
4.928012317459005625e+14,1.711653309332894946e+00,1.495960735155917298e+01,4.279967786064639199e+02
4.980790075294550625e+14,1.736467286158042800e+00,1.495874732964636245e+01,3.918057727269687120e+02
5.035755612859308125e+14,1.761281262983190654e+00,1.495730179095852641e+01,3.587635240515173791e+02
5.091712477443871875e+14,1.786095239808338508e+00,1.495522963833840002e+01,3.286289838792891942e+02
5.149674803772253750e+14,1.810909216633486363e+00,1.495248750386167735e+01,3.011784796846218342e+02
5.208637442052758125e+14,1.835723193458634217e+00,1.494903252361888057e+01,2.760394376376169703e+02
5.268569690782222500e+14,1.860537170283782071e+00,1.494482707893667062e+01,2.530555435432627291e+02
5.329612178171168750e+14,1.885351147108929926e+00,1.493983665640046254e+01,2.320289606551812653e+02
5.391737189929830625e+14,1.910165123934077780e+00,1.493402871181968550e+01,2.127878183929091165e+02
5.455095444289640000e+14,1.934979100759225634e+00,1.492736876769559018e+01,1.951403426787846627e+02
5.519672445468260000e+14,1.959793077584373489e+00,1.491982065250341094e+01,1.789540132334990119e+02
5.585621293838730625e+14,1.984607054409521343e+00,1.491134765245852911e+01,1.641216981660864747e+02
5.652950241227008750e+14,2.009421031234669197e+00,1.490191245624198757e+01,1.505120031390358406e+02
5.721810760456966250e+14,2.034235008059817051e+00,1.489147368687498663e+01,1.380109489838210379e+02
5.792243578346675000e+14,2.059048984884964906e+00,1.487998704947878181e+01,1.265176219900909871e+02
5.864396499073271250e+14,2.083862961710112760e+00,1.486740728575692927e+01,1.159607228707288726e+02
5.938353033931963750e+14,2.108676938535260614e+00,1.485368285867894222e+01,1.062342217882115847e+02
6.014254520431650000e+14,2.133490915360408469e+00,1.483875958628641101e+01,9.730714379015728355e+01
6.092242312490917500e+14,2.158304892185556323e+00,1.482257724250827557e+01,8.908615423963274793e+01
6.172448238825518750e+14,2.183118869010704177e+00,1.480507074591907823e+01,8.152378088642031173e+01
6.255089006724278750e+14,2.207932845835852032e+00,1.478616776881201744e+01,7.455089010554512186e+01
6.340286323139125000e+14,2.232746822660999886e+00,1.476578707844899085e+01,6.813426504096187841e+01
