rhoc,M,R,Lambda,I
3.903794068359097500e+14,8.555272194604848224e-01,1.407604303079311237e+01,1.333331318551323056e+04,9.463554218639823601e-01
3.945558647620661875e+14,8.706110915943314765e-01,1.407384762844777271e+01,1.221538975483533795e+04,9.693857327242264565e-01
3.987813825217670625e+14,8.856949637281780197e-01,1.407188740166441931e+01,1.120266329966865487e+04,9.925490976636436313e-01
4.030768191430495000e+14,9.007788358620246738e-01,1.407011946859851292e+01,1.028852940247619517e+04,1.015840157572603042e+00
4.074302598468845000e+14,9.158627079958712169e-01,1.406850392445060471e+01,9.456497245003320131e+03,1.039252583148095876e+00
4.118902484737515625e+14,9.309465801297178711e-01,1.406699069170828587e+01,8.699750577642753342e+03,1.062781639966928982e+00
4.164012040185260625e+14,9.460304522635645252e-01,1.406554167607990635e+01,8.014478769014391219e+03,1.086419473658591928e+00
4.210093593476862500e+14,9.611143243974110684e-01,1.406411416634145972e+01,7.388519443164144832e+03,1.110159660229796064e+00
4.256628695863236250e+14,9.761981965312577225e-01,1.406267585330523140e+01,6.811955055166316015e+03,1.133994552546242485e+00
4.303891887135521875e+14,9.912820686651042656e-01,1.406118499487246787e+01,6.288309373046134169e+03,1.157919317435186946e+00
4.351686198759466250e+14,1.006365940798950920e+00,1.405961817436531724e+01,5.811288325326607264e+03,1.181925811367531498e+00
4.400451440749714375e+14,1.021449812932797574e+00,1.405794008320747501e+01,5.372261555230452359e+03,1.206008393599115713e+00
4.449848457783110625e+14,1.036533685066644228e+00,1.405612578431604476e+01,4.970518591686156469e+03,1.230159831614860311e+00
4.500492556974585000e+14,1.051617557200490882e+00,1.405414330486390817e+01,4.601657266668624288e+03,1.254372797339059042e+00
4.551929836291419375e+14,1.066701429334337314e+00,1.405196491009867543e+01,4.263389794736403019e+03,1.278639360713877071e+00
4.604903494442812500e+14,1.081785301468183969e+00,1.404955861629194658e+01,3.951725099799769396e+03,1.302951714939043271e+00
4.658954233064675625e+14,1.096869173602030401e+00,1.404689701774369759e+01,3.665239832788568037e+03,1.327299489657299825e+00
4.714817021601651250e+14,1.111953045735877055e+00,1.404394349651324525e+01,3.400709648936298890e+03,1.351674235734136253e+00
4.772256716738508750e+14,1.127036917869723709e+00,1.404066602485611170e+01,3.157462403054360493e+03,1.376064163823947695e+00
4.831728688893950625e+14,1.142120790003570363e+00,1.403702905897811881e+01,2.931902888345256542e+03,1.400456751229817165e+00
4.893631185162247500e+14,1.157204662137417017e+00,1.403298826248137310e+01,2.724262522357164926e+03,1.424839037210107850e+00
