rhoc,M,R,Lambda
7.689093583096810000e+14,1.430958852220089783e+00,1.248916467252697515e+01,4.135325259481829789e+02
7.791109589542061250e+14,1.449245384383895052e+00,1.247664621677736818e+01,3.791614793481091397e+02
7.894970776654900000e+14,1.467531916547700321e+00,1.246346908532927245e+01,3.476864204167425783e+02
8.000849709867421250e+14,1.485818448711505591e+00,1.244960875548958690e+01,3.188925208701740530e+02
8.108869925340853750e+14,1.504104980875310860e+00,1.243503981807481118e+01,2.924197507199253891e+02
8.219115118721685000e+14,1.522391513039116129e+00,1.241973458501558092e+01,2.681966752918123120e+02
8.331738306825802500e+14,1.540678045202921620e+00,1.240366350083471225e+01,2.459695620958835320e+02
8.446887125569176250e+14,1.558964577366726889e+00,1.238679434983239958e+01,2.255335891466898488e+02
8.564696779577856250e+14,1.577251109530532158e+00,1.236909243243917977e+01,2.067804037302597067e+02
8.685367714810528750e+14,1.595537641694337427e+00,1.235052062282261076e+01,1.894466431547876368e+02
8.809103805917066250e+14,1.613824173858142697e+00,1.233103779940559264e+01,1.737102496924933348e+02
8.936122377535333750e+14,1.632110706021947966e+00,1.231059922318187816e+01,1.591122508541392051e+02
9.066622668887727500e+14,1.650397238185753457e+00,1.228915627174134961e+01,1.457177798771167829e+02
9.200853842800048750e+14,1.668683770349558726e+00,1.226665436163790623e+01,1.333805025221148526e+02
9.339111919800012500e+14,1.686970302513363995e+00,1.224303425790565392e+01,1.220184577517910895e+02
9.481742798706932500e+14,1.705256834677169264e+00,1.221822974335273848e+01,1.115668431117290140e+02
9.629131147424065000e+14,1.723543366840974533e+00,1.219216751549125988e+01,1.019522179455551196e+02
9.781607827832591250e+14,1.741829899004779802e+00,1.216476425023931363e+01,9.306167764836408196e+01
9.939633525921886250e+14,1.760116431168585072e+00,1.213592662747615947e+01,8.488553475550787653e+01
1.010375311768523250e+15,1.778402963332390563e+00,1.210554987778569469e+01,7.734450992549909643e+01
1.027460319397661250e+15,1.796689495496195832e+00,1.207351323617211314e+01,7.039719370445448021e+01
1.045285746207599250e+15,1.814976027660001101e+00,1.203967791239902141e+01,6.399255573917347562e+01
1.063929719850610875e+15,1.833262559823806370e+00,1.200388326866151623e+01,5.808082113109814060e+01
1.083488563774611000e+15,1.851549091987611639e+00,1.196594165064371751e+01,5.262168785403918747e+01
1.104076331844114875e+15,1.869835624151416908e+00,1.192563075797998806e+01,4.759224191053922937e+01
1.125835119306984375e+15,1.888122156315222400e+00,1.188268536002671638e+01,4.294592717135999038e+01
1.148931220434244000e+15,1.906408688479027669e+00,1.183678211368285460e+01,3.864887836749189631e+01
1.173562072646422750e+15,1.924695220642832938e+00,1.178752385988049234e+01,3.468295645077080991e+01
1.200003898010985250e+15,1.942981752806638207e+00,1.173441120850370289e+01,3.101580429468948097e+01
1.228605418805338750e+15,1.961268284970443476e+00,1.167680053731384326e+01,2.762072875199716648e+01
1.259812750811276500e+15,1.979554817134248745e+00,1.161384067877651383e+01,2.446864131195036407e+01
1.294272150389423000e+15,1.997841349298054237e+00,1.154436314342605741e+01,2.154254524281751770e+01
1.332915427833703000e+15,2.016127881461859506e+00,1.146668646160877358e+01,1.881429086410680895e+01
1.377174563256454000e+15,2.034414413625664775e+00,1.137823058974613311e+01,1.621043383221389433e+01
1.429506696195981250e+15,2.052700945789470044e+00,1.127465960427125147e+01,1.382963650851073467e+01
1.494739981854050750e+15,2.070987477953275313e+00,1.114752224357839872e+01,1.148574780890768565e+01
1.585533902292316500e+15,2.089274010117080582e+00,1.097503425719223813e+01,9.102905510936858846e+00
1.837916402818883500e+15,2.107560542280885851e+00,1.052835213201482034e+01,5.420510859211304933e+00
