rhoc,M,R,Lambda,I
8.796381909547741250e+14,2.656012564357257411e+00,1.386003070000033333e+01,1.067175644629201159e+01,4.696293386462492059e+00
8.935879396984927500e+14,2.668482080018750757e+00,1.382003090000032941e+01,9.884711290296564812e+00,4.707197300539380791e+00
9.075376884422112500e+14,2.679854457605696183e+00,1.377003115000032274e+01,9.183346067488454167e+00,4.715076339012550299e+00
9.214874371859298750e+14,2.690340435013506504e+00,1.372003140000031784e+01,8.548099051186497377e+00,4.720267905165568934e+00
9.354371859296485000e+14,2.699922226496302535e+00,1.367003165000031295e+01,7.974044538703351392e+00,4.722806865764289874e+00
9.493869346733671250e+14,2.708573864682461085e+00,1.362003190000030628e+01,7.459549715741175646e+00,4.722962722643289979e+00
9.633366834170856250e+14,2.716499680554638196e+00,1.357003215000030139e+01,6.987354006317060495e+00,4.720854842698892107e+00
9.772864321608042500e+14,2.723611191963709821e+00,1.352003240000029471e+01,6.561547110084028134e+00,4.716579437903933858e+00
9.912361809045228750e+14,2.729950937267882960e+00,1.348003260000029080e+01,6.176223437326684440e+00,4.710387514906076767e+00
1.005185929648241500e+15,2.733817191433122407e+00,1.344003280000028688e+01,5.935127477500964588e+00,4.705000947918534848e+00
1.019135678391960125e+15,2.736873743385906721e+00,1.341003295000028395e+01,5.736999215423873366e+00,4.699351147588072486e+00
1.033085427135678625e+15,2.738982488011562744e+00,1.339003305000028021e+01,5.591870006707278407e+00,4.694218976192811255e+00
1.047035175879397250e+15,2.740799384492114132e+00,1.337003315000027825e+01,5.456889025757023504e+00,4.688389374590085090e+00
1.060984924623115875e+15,2.742341629203588926e+00,1.335003325000027630e+01,5.331227030823537660e+00,4.681924636892599523e+00
1.074934673366834500e+15,2.743614710599420192e+00,1.333003335000027434e+01,5.213740212276251285e+00,4.674749129142454329e+00
1.088884422110553000e+15,2.744624477605548396e+00,1.331003345000027238e+01,5.103795152947741443e+00,4.666937044870827833e+00
1.102834170854271625e+15,2.745377930964906010e+00,1.329003355000027042e+01,5.000743924800949536e+00,4.658398767993344514e+00
1.116783919597990250e+15,2.745904107361899271e+00,1.327003365000026847e+01,4.903773464208727617e+00,4.649331325443859519e+00
1.130733668341709000e+15,2.746181489512484752e+00,1.325003375000026473e+01,4.813189784509223301e+00,4.639542091290794090e+00
1.144683417085427500e+15,2.746267898092979109e+00,1.323003385000026277e+01,4.727807334106823411e+00,4.629330714705385041e+00
1.158633165829146000e+15,2.746137860657052343e+00,1.321003395000026082e+01,4.647987329059048989e+00,4.618516774206079312e+00
1.172582914572864500e+15,2.745806594283941138e+00,1.319003405000025886e+01,4.572102153811743008e+00,4.607172834915708393e+00
1.186532663316583250e+15,2.745334514961104588e+00,1.317003415000025690e+01,4.500757410886532028e+00,4.595563746931539129e+00
1.200482412060302000e+15,2.744646334849405012e+00,1.315003425000025494e+01,4.433030522391787187e+00,4.583299418851080276e+00
1.214432160804020500e+15,2.743824905867805253e+00,1.313003435000025121e+01,4.369576080813867947e+00,4.570771390473413298e+00
1.228381909547739000e+15,2.742834355025472348e+00,1.311003445000024925e+01,4.308952591473599547e+00,4.557792513813258672e+00
1.242331658291457500e+15,2.741690855409490979e+00,1.309003455000024729e+01,4.252636109329246850e+00,4.544437976973854099e+00
1.256281407035176250e+15,2.740428068382068094e+00,1.307003465000024534e+01,4.198406020006986594e+00,4.530827339897017580e+00
1.270231155778895000e+15,2.739021056050545688e+00,1.306003470000024436e+01,4.147137021510225452e+00,4.516848085278959424e+00
1.284180904522613500e+15,2.737523345509176753e+00,1.304003480000024240e+01,4.098921663876861743e+00,4.502737911030275875e+00
1.298130653266332000e+15,2.735887080533148108e+00,1.302003490000024044e+01,4.052632731091188489e+00,4.488252006721387133e+00
1.312080402010050500e+15,2.734169552192642794e+00,1.300003500000023671e+01,4.009146410470269650e+00,4.473670743191140886e+00
1.326030150753769250e+15,2.732311049150137450e+00,1.298003510000023475e+01,3.967294713232379255e+00,4.458671874372463151e+00
1.339979899497487750e+15,2.730395245767932355e+00,1.297003515000023377e+01,3.927750891500104036e+00,4.443686929491870607e+00
1.353929648241206500e+15,2.728381690369079404e+00,1.295003525000023181e+01,3.890202311167634708e+00,4.428460977023070733e+00
1.367879396984925000e+15,2.726311024229218560e+00,1.293003535000022985e+01,3.854629030664795231e+00,4.413223283725105084e+00
1.381829145728643500e+15,2.724120497617559256e+00,1.291003545000022790e+01,3.820241531445394134e+00,4.397635531329642689e+00
1.395778894472362250e+15,2.721885966627815456e+00,1.290003550000022692e+01,3.787895961842839387e+00,4.382079327659952561e+00
1.409728643216080750e+15,2.719579468085462803e+00,1.288003560000022496e+01,3.756632852732738392e+00,4.366399154460349763e+00
1.423678391959799500e+15,2.717207949681240908e+00,1.286003570000022123e+01,3.727369945547160057e+00,4.350618108318625055e+00
1.437628140703518000e+15,2.714780463058302562e+00,1.285003575000022025e+01,3.699529998021630739e+00,4.334789758685131389e+00
1.451577889447236500e+15,2.712293672163892388e+00,1.283003585000021829e+01,3.672515877041418797e+00,4.318868831103816142e+00
1.465527638190955250e+15,2.709773723071969176e+00,1.281003595000021633e+01,3.646835937401102345e+00,4.302988584403558470e+00
1.479477386934673750e+15,2.707176065410915378e+00,1.280003600000021535e+01,3.622584737630066165e+00,4.286925192010933472e+00
1.493427135678392500e+15,2.704553444358190450e+00,1.278003610000021339e+01,3.599429157659584266e+00,4.270934053535730968e+00
1.507376884422111000e+15,2.701908118032931405e+00,1.277003615000021242e+01,3.577126286046626191e+00,4.255001974712051549e+00
1.521326633165829500e+15,2.699183663597973570e+00,1.275003625000020868e+01,3.555948190351767124e+00,4.238877413248121506e+00
1.535276381909548250e+15,2.696468019599601806e+00,1.273003635000020672e+01,3.535485707205743289e+00,4.222955920686032094e+00
1.549226130653266750e+15,2.693690726145936853e+00,1.272003640000020575e+01,3.516407472221006802e+00,4.206898733997841866e+00
1.563175879396985500e+15,2.690886946820733261e+00,1.270003650000020379e+01,3.498168871176071448e+00,4.190877892172422570e+00
1.577125628140704000e+15,2.688062261499851502e+00,1.269003655000020281e+01,3.480213518730563393e+00,4.174915634836238176e+00
1.591075376884422500e+15,2.685215183748680179e+00,1.267003665000020085e+01,3.463666063546471552e+00,4.158993397622654520e+00
1.605025125628141250e+15,2.682347701949726826e+00,1.266003670000019987e+01,3.447796023640549823e+00,4.143117219139832663e+00
1.618974874371859750e+15,2.679444545893422625e+00,1.264003680000019791e+01,3.432174642506688134e+00,4.127214221544812212e+00
1.632924623115578250e+15,2.676529520092657766e+00,1.263003685000019694e+01,3.417649155020499485e+00,4.111387730305585464e+00
1.646874371859297000e+15,2.673623077537767845e+00,1.261003695000019320e+01,3.403832544307054064e+00,4.095745264609261582e+00
1.660824120603015500e+15,2.670650702978444091e+00,1.260003700000019222e+01,3.390422184794788851e+00,4.079911318671529230e+00
1.674773869346734250e+15,2.667693032958867949e+00,1.259003705000019124e+01,3.377685935314767463e+00,4.064270955219154047e+00
1.688723618090452750e+15,2.664724859863740747e+00,1.257003715000018929e+01,3.365709101553762572e+00,4.048710925005883254e+00
