rhoc,M,R,Lambda,I
9.038673104754947500e+14,1.718740800948256098e+00,1.211003945000013715e+01,1.160845494635464661e+02,2.002870467549984212e+00
9.120584828908622500e+14,1.731367599290706050e+00,1.210003950000013617e+01,1.095625498791392545e+02,2.020763576858578769e+00
9.202496553062296250e+14,1.743626277313608419e+00,1.209003955000013519e+01,1.035457073747444099e+02,2.038041892200727290e+00
9.284408277215970000e+14,1.755790589187287365e+00,1.208003960000013421e+01,9.787796486630800530e+01,2.055104917426046285e+00
9.366320001369643750e+14,1.767573641238737503e+00,1.207003965000013324e+01,9.267461415964056926e+01,2.071561766262528970e+00
9.448231725523318750e+14,1.779276113259252279e+00,1.206003970000013226e+01,8.774958358379248580e+01,2.087812119446379011e+00
9.530143449676992500e+14,1.790603782793876109e+00,1.205003975000013128e+01,8.321754678068283795e+01,2.103445972340035386e+00
9.612055173830666250e+14,1.801831532527736757e+00,1.204003980000013030e+01,7.893557342461716075e+01,2.118859768638944097e+00
9.693966897984340000e+14,1.812710081881190760e+00,1.203003985000012932e+01,7.496699779382994677e+01,2.133685469481542807e+00
9.775878622138015000e+14,1.823475194759217377e+00,1.202003990000012834e+01,7.122046734693078918e+01,2.148265675928387353e+00
9.857790346291688750e+14,1.833906737338930615e+00,1.201003995000012736e+01,6.774738089680292319e+01,2.162278251505538318e+00
9.939702070445362500e+14,1.844224179856378987e+00,1.199004005000012540e+01,6.445944261136328635e+01,2.176036956376979248e+00
1.002161379459903625e+15,1.854233304680519057e+00,1.198004010000012265e+01,6.140421156789099655e+01,2.189298331525026953e+00
1.010352551875271125e+15,1.864108993258670521e+00,1.197004015000012167e+01,5.851258413465433250e+01,2.202234573797278383e+00
1.018543724290638500e+15,1.873674605231251400e+00,1.196004020000012069e+01,5.581840615595869082e+01,2.214669997593290862e+00
1.026734896706005875e+15,1.883153234369565610e+00,1.194004030000011873e+01,5.325812317339825341e+01,2.226887166248691319e+00
1.034926069121373375e+15,1.892283834171754942e+00,1.193004035000011775e+01,5.088056880915296176e+01,2.238515833914601849e+00
1.043117241536740750e+15,1.901368038949879713e+00,1.192004040000011678e+01,4.860798833032890798e+01,2.250003800582320412e+00
1.051308413952108125e+15,1.910116084648052270e+00,1.191004045000011580e+01,4.649866793515281671e+01,2.260926541115650945e+00
1.059499586367475500e+15,1.918781557464806387e+00,1.189004055000011384e+01,4.447973090515856853e+01,2.271629882635755937e+00
1.067690758782843000e+15,1.927158372138820353e+00,1.188004060000011286e+01,4.259889542446134669e+01,2.281852716262155578e+00
