rhoc,M,R,Lambda,I
9.414113016184768750e+14,1.572522194611128299e+00,1.176004120000009934e+01,1.557256007265215203e+02,1.635969618540440429e+00
9.518085668593243750e+14,1.588865955452765766e+00,1.174004130000009738e+01,1.443348685472735156e+02,1.657983417086588807e+00
9.622058321001717500e+14,1.604906329319083280e+00,1.173004135000009640e+01,1.339466195954461512e+02,1.679544920249055329e+00
9.726030973410192500e+14,1.620503146172229014e+00,1.172004140000009365e+01,1.245375666980501848e+02,1.700456324905499139e+00
9.830003625818667500e+14,1.635809198006616283e+00,1.171004145000009267e+01,1.159008149395277343e+02,1.720898058372564376e+00
9.933976278227142500e+14,1.650785039928486686e+00,1.169004155000009071e+01,1.080238647691155904e+02,1.740848753110259661e+00
1.003794893063561750e+15,1.665313556718051702e+00,1.168004160000008973e+01,1.008495393233906725e+02,1.760111056042589661e+00
1.014192158304409250e+15,1.679632658553176894e+00,1.167004165000008875e+01,9.423789190201443944e+01,1.779037702816516964e+00
1.024589423545256750e+15,1.693538890430236865e+00,1.165004175000008679e+01,8.819188730196745496e+01,1.797309224676555184e+00
1.034986688786104250e+15,1.707073058436440860e+00,1.164004180000008581e+01,8.264573426193406647e+01,1.814992700736315578e+00
1.045383954026951750e+15,1.720384622561488941e+00,1.163004185000008484e+01,7.750892621444245378e+01,1.832300833527472639e+00
1.055781219267799250e+15,1.733267559756514808e+00,1.161004195000008288e+01,7.280945195096022360e+01,1.848948728268881014e+00
1.066178484508646750e+15,1.745906311135849043e+00,1.160004200000008190e+01,6.845852882210378709e+01,1.865166112819316657e+00
1.076575749749494250e+15,1.758200716765595306e+00,1.158004210000007816e+01,6.444750308852280796e+01,1.880847661305487639e+00
1.086973014990341750e+15,1.770141007290670476e+00,1.157004215000007719e+01,6.074294344026829151e+01,1.895943918262062544e+00
1.097370280231189125e+15,1.781842741897422533e+00,1.155004225000007523e+01,5.729747157002887548e+01,1.910622501688604702e+00
1.107767545472036625e+15,1.793127379640785835e+00,1.154004230000007425e+01,5.413135305258453656e+01,1.924642012569895089e+00
1.118164810712884125e+15,1.804258246137608213e+00,1.152004240000007229e+01,5.116038960857694207e+01,1.938357325113957197e+00
1.128562075953731500e+15,1.814993711630114026e+00,1.150004250000007033e+01,4.843235248255176373e+01,1.951449506389214106e+00
1.138959341194579000e+15,1.825505628231451904e+00,1.149004255000006935e+01,4.587535014474916295e+01,1.964148238099471921e+00
1.149356606435426500e+15,1.835687580457347368e+00,1.147004265000006562e+01,4.350726504284981644e+01,1.976289362901930025e+00
1.159753871676274000e+15,1.845606084066545582e+00,1.146004270000006464e+01,4.129769653996686429e+01,1.988007529500188220e+00
1.170151136917121500e+15,1.855266273667256050e+00,1.144004280000006268e+01,3.923400547985525577e+01,1.999272291727698825e+00
1.180548402157969000e+15,1.864603900231313505e+00,1.142004290000006073e+01,3.730984713888636151e+01,2.009994916705968304e+00
1.190945667398816500e+15,1.873733762689812954e+00,1.141004295000005975e+01,3.550750074557169000e+01,2.020332297558850687e+00
1.201342932639664000e+15,1.882532052479015006e+00,1.139004305000005779e+01,3.383044354003654064e+01,2.030134626384004104e+00
1.211740197880511500e+15,1.891165646764134678e+00,1.137004315000005583e+01,3.224933800943838236e+01,2.039622916659859175e+00
1.222137463121359000e+15,1.899472726155473579e+00,1.135004325000005387e+01,3.078175068654055480e+01,2.048615387981873148e+00
1.232534728362206500e+15,1.907609176019263719e+00,1.134004330000005112e+01,2.938866202805346006e+01,2.057239830323323471e+00
1.242931993603054000e+15,1.915421226629633988e+00,1.132004340000004916e+01,2.809602945863321821e+01,2.065375206951593157e+00
1.253329258843901500e+15,1.923088169207400222e+00,1.130004350000004720e+01,2.686816976928904310e+01,2.073195611869276256e+00
1.263726524084749000e+15,1.930436630846325663e+00,1.129004355000004622e+01,2.572466549563501204e+01,2.080536260123121206e+00
