energy_densityc2,pressurec2,baryon_density
391.0577432626,0.000024406,391.5538519642
400.0891934134,0.000025605,400.6360338485
409.3284048224,2.68609077533231E-05,409.9288790358
418.7801958362,2.81763797181151E-05,419.4372739101
428.4494987891,2.95540800057124E-05,429.1662181961
438.3413627805,3.09968231390735E-05,439.1208275881
448.4609565217,3.25075435916515E-05,449.3063364404
458.813571255,3.40893004947658E-05,459.7281005192
469.4046237462,3.57452825080461E-05,470.3915998189
480.2396593534,3.74788128574646E-05,481.3024414438
491.324355173,3.9293354545535E-05,492.4663625561
502.664523266,4.11925157383112E-05,503.8892333929
514.2661139658,4.31800553338899E-05,515.5770603527
526.1352192701,4.52598887171699E-05,527.535989154
538.2780763194,4.7436093705665E-05,539.7723080663
550.7010709637,4.97129166912445E-05,552.2924512174
563.4107414203,5.20947789826821E-05,565.103001976
576.4137820247,5.45862833539642E-05,578.2106964133
589.7170470777,5.71922208033222E-05,591.6224268456
603.3275547903,5.99175775280087E-05,605.3452454578
617.25249133,6.2767542119831E-05,619.3863680121
631.4992149701,6.57475129864975E-05,633.7531776418
646.0752603464,6.88631060038329E-05,648.4532287337
660.988342822,7.21201624039312E-05,663.4942509003
676.2463629652,7.55247569043105E-05,678.8841530443
691.8574111416,7.90832060831104E-05,694.6310275173
707.8297722251,8.28020770053885E-05,710.7431543748
724.1719304303,8.66881961055009E-05,727.22900573
740.8925742689,9.07486583305631E-05,744.0972502089
758.0006016344,9.49908365499067E-05,761.3567575081
775.5051250188,9.94223912353958E-05,779.0166030589
793.4154768628,0.0001040513,797.0860727994
811.7412150464,0.0001088858,815.5746680572
830.4921285201,0.0001139344,834.4921105453
849.6782430831,0.0001192062,853.848347474
869.3098273118,0.0001247103,873.6535567817
889.3973986417,0.0001304564,893.918152486
909.9517296081,0.0001364544,914.6527901606
930.9838542493,0.0001427147,935.8683725371
952.5050746765,0.000149248,957.576055239
974.5269678159,0.0001560654,979.7872526467
997.0613923263,0.0001631785,1002.5136438999
1020.1204956979,0.0001705992,1025.7671790387
1043.7167215372,0.00017834,1049.5600852871
1067.8628170427,0.0001864137,1073.9048734822
1092.5718406766,0.0001948337,1098.8143446532
1117.8571700384,0.0002036137,1124.3015967519
1143.7325099455,0.0002127682,1150.38003154
1170.2731285383,0.0002223326,1177.1267675438
1197.4314420546,0.0002322991,1204.4953744661
1225.2218403515,0.0002426838,1232.5003110222
1253.6590481908,0.0002535034,1261.1563720973
1282.7581330101,0.0002647751,1290.4786965633
1312.5345128745,0.0002765169,1320.4827752757
1343.0039646117,0.0002887476,1351.184459258
1374.1826321341,0.0003014865,1382.5999680754
1406.087034954,0.0003147538,1414.7458984037
1438.7340768951,0.0003285704,1447.6392327971
1472.1410550041,0.0003429581,1481.2973486604
1506.3256686692,0.0003579397,1515.7380274287
1541.3060289483,0.0003735385,1550.9794639619
1577.100668112,0.000389779,1587.0402761566
1613.7285494073,0.0004066867,1623.939514782
1651.2090770458,0.0004242879,1661.6966735444
1689.5621064231,0.0004426101,1700.3316993855
1728.8079545721,0.0004616818,1739.8650030204
1768.9674108591,0.0004815326,1780.3174697202
1810.0617479246,0.0005021935,1821.7104703461
1852.1127328773,0.0005236965,1864.0658726391
1895.1426387455,0.0005460748,1907.4060527728
1939.1742561921,0.0005693632,1951.7539071746
1984.2309054993,0.0005935977,1997.132864622
2030.3364488293,0.0006188157,2043.5668986194
2077.5153027675,0.0006450563,2091.0805400639
2125.7924511533,0.0006723599,2139.6988902041
